holdout,buffer_km,seed,learner,representation,source_track,target_track,oa,ba
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t15,t37,52.93750000000001,69.44023634135051
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t15,t88,51.67708333333333,71.39726919159595
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t15,t139,46.53125,70.04587977363119
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t37,t15,56.47916666666667,73.19374108916078
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t37,t88,49.916666666666664,71.2654433358033
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t37,t139,46.39583333333333,68.20822022578032
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t88,t15,54.19791666666667,70.17171934826345
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t88,t37,52.385416666666664,67.70257404327738
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t88,t139,48.541666666666664,64.71046452237101
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t139,t15,52.90625,70.26146186391607
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t139,t37,51.197916666666664,66.317966108536
south_holdout_5km_buffer,5.0,17,SVC,I28_G29,t139,t88,46.927083333333336,66.56765928203076
south_holdout_5km_buffer,5.0,29,RF,I28,t15,t37,53.8125,61.73543305420732
south_holdout_5km_buffer,5.0,29,RF,I28,t15,t88,51.864583333333336,65.85214906575345
south_holdout_5km_buffer,5.0,29,RF,I28,t15,t139,45.729166666666664,60.73996731202244
south_holdout_5km_buffer,5.0,29,RF,I28,t37,t15,56.80208333333333,65.49320301798096
south_holdout_5km_buffer,5.0,29,RF,I28,t37,t88,49.4375,64.85729083012582
south_holdout_5km_buffer,5.0,29,RF,I28,t37,t139,45.80208333333333,59.46676380043492
south_holdout_5km_buffer,5.0,29,RF,I28,t88,t15,53.25,59.56376879921146
south_holdout_5km_buffer,5.0,29,RF,I28,t88,t37,52.40625,56.64021461686446
south_holdout_5km_buffer,5.0,29,RF,I28,t88,t139,47.864583333333336,57.12544440439324
south_holdout_5km_buffer,5.0,29,RF,I28,t139,t15,50.21875,62.44235732331626
south_holdout_5km_buffer,5.0,29,RF,I28,t139,t37,51.635416666666664,58.453054611022345
south_holdout_5km_buffer,5.0,29,RF,I28,t139,t88,47.614583333333336,61.033572009358416
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t15,t37,56.322916666666664,70.54701754562649
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t15,t88,54.5625,72.73707655109718
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t15,t139,48.67708333333333,67.36030268448447
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t37,t15,59.333333333333336,72.18833268782697
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t37,t88,52.63541666666667,71.45222806644091
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t37,t139,48.65625,65.76638366698153
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t88,t15,56.072916666666664,67.83977055568877
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t88,t37,54.57291666666667,65.27084233750833
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t88,t139,50.53125000000001,65.13708196924323
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t139,t15,53.23958333333333,69.78627004193119
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t139,t37,53.67708333333333,66.23497243047119
south_holdout_5km_buffer,5.0,29,RF,I28_G29,t139,t88,49.833333333333336,67.97677029485138
south_holdout_5km_buffer,5.0,29,SVC,I28,t15,t37,49.395833333333336,61.48598368273672
south_holdout_5km_buffer,5.0,29,SVC,I28,t15,t88,47.552083333333336,63.71757130179099
south_holdout_5km_buffer,5.0,29,SVC,I28,t15,t139,44.145833333333336,61.66931932302988
south_holdout_5km_buffer,5.0,29,SVC,I28,t37,t15,52.75,61.38501512907054
south_holdout_5km_buffer,5.0,29,SVC,I28,t37,t88,46.197916666666664,63.60171967685739
south_holdout_5km_buffer,5.0,29,SVC,I28,t37,t139,44.01041666666667,56.95442747385411
south_holdout_5km_buffer,5.0,29,SVC,I28,t88,t15,50.5,60.50797383386595
south_holdout_5km_buffer,5.0,29,SVC,I28,t88,t37,49.46875,58.432003571684
south_holdout_5km_buffer,5.0,29,SVC,I28,t88,t139,44.51041666666667,57.95522999844712
south_holdout_5km_buffer,5.0,29,SVC,I28,t139,t15,44.364583333333336,59.91794449860639
south_holdout_5km_buffer,5.0,29,SVC,I28,t139,t37,44.927083333333336,55.64611626169853
south_holdout_5km_buffer,5.0,29,SVC,I28,t139,t88,41.4375,57.95422119489573
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t15,t37,51.71875,69.82460823694343
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t15,t88,49.53125,71.18558961319022
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t15,t139,46.052083333333336,68.31329531195513
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t37,t15,54.46875,68.77578521117185
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t37,t88,48.67708333333333,70.1242756219179
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t37,t139,45.71875,64.80274928511804
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t88,t15,52.916666666666664,69.76114011326602
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t88,t37,51.4375,68.132405246503
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t88,t139,46.88541666666667,67.10044982772587
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t139,t15,48.541666666666664,68.45504207454411
south_holdout_5km_buffer,5.0,29,SVC,I28_G29,t139,t37,48.552083333333336,65.3026885216766
