learner,representation,source_track,seed,params,in_track_oa,cross_track_oa,in_track_ba,cross_track_ba,transfer_gap_oa,transfer_gap_ba
SVC,I8,t139,29,"{'C': 100.0, 'gamma_mult': 0.1}",73.53125,70.2361111111111,68.73737624060722,58.53034996867931,3.2951388888889,10.207026271927909
SVC,I28,t15,29,"{'C': 10.0, 'gamma_mult': 0.1}",75.60416666666666,71.99305555555556,71.5378995474557,67.94980958061454,3.6111111111111,3.588089966841153
SVC,I28,t37,29,"{'C': 10.0, 'gamma_mult': 0.1}",74.25,70.71527777777776,70.14900470078318,68.86205202474044,3.5347222222222427,1.2869526760427448
SVC,I28,t88,29,"{'C': 10.0, 'gamma_mult': 0.1}",74.13541666666666,72.01041666666667,69.77902299492168,65.83556103286537,2.124999999999986,3.943461962056304
SVC,I28,t139,29,"{'C': 10.0, 'gamma_mult': 0.1}",74.54166666666667,70.94097222222221,72.35423952451548,61.48710635631738,3.600694444444457,10.867133168198094
SVC,I8_G9,t15,29,"{'C': 100.0, 'gamma_mult': 0.1}",76.34375000000001,72.69444444444446,78.4288975052579,73.87072952479619,3.649305555555557,4.558167980461704
SVC,I8_G9,t37,29,"{'C': 1.0, 'gamma_mult': 1.0}",74.38541666666669,72.42013888888887,73.65391720036372,74.0775962080771,1.965277777777814,-0.42367900771337474
SVC,I8_G9,t88,29,"{'C': 100.0, 'gamma_mult': 0.1}",74.625,72.20833333333333,76.65846753665423,72.2419186365892,2.4166666666666714,4.416548900065024
SVC,I8_G9,t139,29,"{'C': 1.0, 'gamma_mult': 1.0}",74.96875,71.71180555555556,77.56690762294564,69.851737740236,3.256944444444443,7.715169882709631
SVC,F12,t15,29,"{'C': 10.0, 'gamma_mult': 0.1}",76.20833333333333,72.81944444444444,77.85493815643581,73.97092731036524,3.3888888888888857,3.8840108460705665
SVC,F12,t37,29,"{'C': 10.0, 'gamma_mult': 0.1}",74.53125,72.56250000000001,75.79633800318999,76.36840937849692,1.9687499999999858,-0.5720713753069333
SVC,F12,t88,29,"{'C': 10.0, 'gamma_mult': 0.1}",74.66666666666667,72.81249999999999,76.963910519815,73.43978164913081,1.8541666666666856,3.5241288706841942
SVC,F12,t139,29,"{'C': 1.0, 'gamma_mult': 1.0}",75.03125,71.70138888888889,78.36320348203728,71.41447312257593,3.3298611111111143,6.948730359461351
SVC,I28_G29,t15,29,"{'C': 10.0, 'gamma_mult': 0.1}",77.11458333333331,73.28125,80.119743920591,74.49270445041876,3.8333333333333144,5.6270394701722495
SVC,I28_G29,t37,29,"{'C': 10.0, 'gamma_mult': 0.1}",75.65624999999999,73.45833333333333,74.73317988207413,75.58872664318316,2.197916666666657,-0.8555467611090393
SVC,I28_G29,t88,29,"{'C': 10.0, 'gamma_mult': 0.1}",75.57291666666667,73.13541666666667,76.9587682704251,72.99604885332654,2.4375,3.9627194170985547
SVC,I28_G29,t139,29,"{'C': 10.0, 'gamma_mult': 0.1}",75.83333333333334,72.40625,77.11049644054413,69.93651158682303,3.427083333333343,7.173984853721095
RF,I8,t15,43,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",73.22916666666667,70.26736111111111,65.52689927782048,64.4644282089058,2.961805555555557,1.0624710689146752
