learner,representation,source,target,is_cross,oa,ba_block,ba_pooled
SVC,Base8_Raw_g12,t88,t15,True,71.82291666666667,73.26689749263782,79.25673610808195
SVC,Base8_Raw_g12,t88,t37,True,69.08333333333333,68.86767529502244,76.63425598702834
SVC,Base8_Raw_g12,t88,t88,False,71.60416666666667,73.85234563924043,82.02236194338617
SVC,Base8_Raw_g12,t88,t139,True,68.67708333333333,66.98531043663728,75.34367189128548
SVC,Base8_Raw_g12,t139,t15,True,65.40625,68.82282066261489,75.4715988939051
SVC,Base8_Raw_g12,t139,t37,True,69.1875,70.41416444178296,76.49735384005928
SVC,Base8_Raw_g12,t139,t88,True,64.47916666666667,69.93180156802583,78.77313227344858
SVC,Base8_Raw_g12,t139,t139,False,72.15625,72.04091536055041,79.72286258525143
SVC,F2_D12,t15,t15,False,74.25,74.09537905410818,82.0071265816311
SVC,F2_D12,t15,t37,True,72.45833333333334,70.2871397294337,78.42172158660273
SVC,F2_D12,t15,t88,True,70.57291666666666,71.98755013791606,80.5783481651995
SVC,F2_D12,t15,t139,True,70.3125,67.60956810282381,76.83268413369389
SVC,F2_D12,t37,t15,True,69.91666666666667,72.58618612151086,79.87727569858856
SVC,F2_D12,t37,t37,False,71.19791666666667,72.02039697979063,81.18074232527773
SVC,F2_D12,t37,t88,True,66.63541666666667,71.3824967962856,80.73010286060251
SVC,F2_D12,t37,t139,True,69.33333333333334,69.21416265450027,76.0985469986479
SVC,F2_D12,t88,t15,True,71.77083333333333,73.1881682340862,79.43423043101761
SVC,F2_D12,t88,t37,True,69.5,69.43536433722902,76.98054101071564
SVC,F2_D12,t88,t88,False,71.53125,73.88882432932624,81.85898104527564
SVC,F2_D12,t88,t139,True,69.01041666666666,68.26873864462749,76.4926774097085
SVC,F2_D12,t139,t15,True,65.625,69.21147817987517,75.64543089580522
SVC,F2_D12,t139,t37,True,69.42708333333333,70.9637595113449,78.08367840600451
SVC,F2_D12,t139,t88,True,64.39583333333333,68.9948585438773,78.34660567328443
SVC,F2_D12,t139,t139,False,72.22916666666667,73.0305194143469,81.81890336652215
