learner,params,fold,fold_ba,fold_oa,representation,source_track
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",1,0.6735527635481287,0.736313184340783,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",2,0.6010383439251935,0.704514774261287,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 0.1}",3,0.6515542105554345,0.5260236988150593,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",1,0.6950975513057527,0.736313184340783,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",2,0.6208085994338717,0.7126143692815359,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 1.0}",3,0.6432699775403873,0.5720713964301785,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",1,0.5124572542924558,0.6844157792110395,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",2,0.48976536577963686,0.672116394180291,I8,t88
SVC,"{'C': 1.0, 'gamma_mult': 10.0}",3,0.44671128803933435,0.511774411279436,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",1,0.6857200306415207,0.7393130343482825,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",2,0.6403208705934609,0.7130643467826608,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 0.1}",3,0.669012514294294,0.544322783860807,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",1,0.6141296868403078,0.7270136493175341,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",2,0.6213778416243599,0.7057147142642868,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 1.0}",3,0.6576655584671462,0.5716214189290535,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",1,0.48167543716757627,0.6311684415779211,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",2,0.46891962150787003,0.6245687715614219,I8,t88
SVC,"{'C': 10.0, 'gamma_mult': 10.0}",3,0.441136077620553,0.5149242537873107,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",1,0.6948897162664587,0.7373631318434078,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",2,0.6348854563656209,0.7154642267886606,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 0.1}",3,0.6642443619971176,0.5582720863956803,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",1,0.643104457166418,0.7147142642867856,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",2,0.6096617642780244,0.6944652767361632,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 1.0}",3,0.6162443078195474,0.5576721163941802,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",1,0.4589072664593489,0.5863206839658017,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",2,0.449930822632793,0.5866206689665516,I8,t88
SVC,"{'C': 100.0, 'gamma_mult': 10.0}",3,0.4218792628393201,0.49557522123893805,I8,t88
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",1,0.7343130189121556,0.6920653967301635,I8,t88
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",2,0.6129318602819445,0.7027148642567872,I8,t88
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",3,0.6876260392356167,0.5848207589620519,I8,t88
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",1,0.6564899161455454,0.7028648567571621,I8,t88
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",2,0.6110800979165669,0.7100644967751613,I8,t88
RF,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",3,0.6787918787813759,0.5902204889755512,I8,t88
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",1,0.729611986741787,0.688165591720414,I8,t88
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",2,0.6201556642538146,0.7013649317534123,I8,t88
RF,"{'max_features': 0.5, 'min_samples_leaf': 1}",3,0.6961415594887669,0.5851207439628019,I8,t88
